
2025-07-21 19:56:02,225 - ERROR - Podcast: Error procesando episodio #325: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:02,349 - ERROR - Podcast: Error procesando episodio #324: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:02,463 - ERROR - Podcast: Error procesando episodio #323: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:02,583 - ERROR - Podcast: Error procesando episodio #322: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:02,701 - ERROR - Podcast: Error procesando episodio #321: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:02,815 - ERROR - Podcast: Error procesando episodio #320: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:02,941 - ERROR - Podcast: Error procesando episodio #319: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:03,053 - ERROR - Podcast: Error procesando episodio #318: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:03,174 - ERROR - Podcast: Error procesando episodio #317: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:03,293 - ERROR - Podcast: Error procesando episodio #316: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
2025-07-21 19:56:03,413 - ERROR - Podcast: Error procesando episodio #315: {'message': 'column podcasts.web_songs_count does not exist', 'code': '42703', 'hint': None, 'details': None}
